我;I, me
我们;we, us (pl.)
你;you
你们;you (pl.)
他;he, him
她;she, her
他们;they (male+female / male, pl.)
她们;they (females, pl.)
这 (这儿);here, this
那 (那儿);there, that
哪（哪儿）;where
谁;who
什么;what, why
多少;how many, how much
几;a few, how many
怎么;how
怎么样;how about
一;one
二;two
三;three
四;four
五;five
六;six
七;seven
八;eight
九;nine
十;ten
零;zero
个;one, a, an
岁;year
本;volume
些;some
块;piece
不;no
没;no
很;quite, very
太;too
都;all
和;and
在;in, at
的;[part.]
了;[past part.]
吗;[part.]
呢;[part.]
喂;hello
家;home
学校;school
饭店;restaurant
商店;store
医院;hospital
火车站;train station
中国;China
北京;Beijing
上;up
下;down
前面;front
后面;behind
里;inside
今天;today
明天;tomorrow
昨天;yesterday
上午;morning
中午;noon
下午;afternoon
年;year
月;month
日;day
星期;week
点;dot, spot
分钟;minute
现在;now
时候;time
爸爸;father
妈妈;mother
儿子;son
女儿;daughter
老师;teacher
学生;student
同学;shoolmate
朋友;friend
医生;doctor
先生;sir
小姐;Miss
衣服;cloth
水;water
菜;vegetable
米饭;rice
水果;fruit
苹果;apple
茶;tea
杯子;cup
钱;money
飞机;airplane
出租车;taxi
电视;television
电脑;computer
电影;movie
天气;weather
猫;cat
狗;dog
东西;thing
人;person
名字;name
书;book
汉语;mandarin Chinese
字;character
桌子;desk
椅子;chair
谢谢;thank
不客气;you are welcome
再见;good-bye
请;please
对不起;sorry
没关系;It doesn’t matter
是;be (am, is, are)
有;have
看;look
听;listen
说话;speak
读;read
写;write
看见;see
叫;call
来;come
回;return
去;go
吃;eat
喝;drink
睡觉;sleep
打电话;call up
做;do
买;buy
开;open
坐;sit
住;live
学习;study
工作;work
下雨;rain
爱;love
喜欢;love, like
想;want
认识;know
会;can
能;can, be able to
好;good
大;big
小;small
多;many, much
少;few, little
冷;cold
热;hot
高兴;happy
漂亮;beautiful