啊;a;фразовая частица восклицательных и побудительных предложений, не переводится;别忙啊 ! [biě máng a] — не торопитесь!; 快些来啊 ! [kuài xiē lái a] — приходите быстрее!
还;hái, huán;[en] still; yet; in addition; even | repay; to return
把;bǎ;держать в руках, взять(ся), сл. слово, используемое для инверсии дополнения;把着栏杆 [bǎzhe lángān] — держаться за перила; 把书拿来 [bǎ shū nálai] — принести книгу
过;guò;[en] to pass; to cross; go over; (indicates a past experience)
如果;rúguǒ;если, если бы;
只;zhī; только; лишь; всего лишь; только лишь;сч. сл. для некоторых предметов и животных; 只剩下他一个人 [zhǐ shèngxià tā yīge rén] — остался только он один; 只怕出事儿 [zhǐ pà chūshìr] — боюсь только, как бы чего не случилось;一只鞋 [yī zhī xié] — один ботинок; 一只鸡 [yī zhī jī] — одна курица
被;bèi;сл. слово для выражения пассива;树被风刮倒了 [shù bèi fēng guādǎole] — дерево повалено ветром; 他被选为代表 [tā bèi xuǎnwéi dàibiǎo] — он избран делегатом
跟;gēn;и, с, за, у;我跟他是弟兄 [wǒ gēn tā shì dìxiong] — я и он — братья; 你跟他说了没有 ? [nǐ gēn tā shuōle méiyǒu] — ты говорил с ним?
自己;zìjǐ;сам, себя, свой, собственный;自己人 [zìjǐrén] — свои люди, свой брат
用;yòng;употреблять, использовать, применять;用武器 [yòng wǔqì] — применить оружие; 用钱 [yòngqián] — расходовать деньги
像;xiàng;внешний облик, вид, иметь сходство с;
为;wèi;для, ради, за;为人民服务 [wèi rénmín fúwù] — служить народу; 为 … 而斗争 [wèi… ér dòuzhēng] — бороться за что-либо
需要;xūyào;требоваться, быть потребным, нуждаться, необходимо;
应该;yīnggāi;следует, должно, нужно, полагается;
起来;qǐlái;глагольный суффикс, указывающий на а) движение снизу вверх, б) на начало действия, в) завершённость действия;飞起来 [fēiqǐlái] — взлететь; 说起来 [shuōqǐlái] — заговорить
才;cái;только, только что, только тогда, только в этом случае;我今天才来 [wǒ jīntiān cái lái] — я прибыл только сегодня; 他才来 [tā cái lái] — он только что пришёл
又;yòu;опять, снова, да ещё, притом;今天又下雨了 [jīntiān yòu xiàyǔle] — сегодня опять идёт дождь; 他年纪大 , 又有病 [tā niánjì dà, yòu yǒubìng] — он уже не молод, да (к тому же) ещё и болен
拿;ná;брать, взять, держать;手里拿着一把扇子 [shǒuli názhe yī bǎ shànzi] — держать в руке веер; 到银行去拿钱 [dào yínháng qù ná qián] — пойти в банк за деньгами
更;gèng;ещё, ещё более, тем более;更少 [gèngshǎo] — ещё меньше; 天气变得更冷了 [tiānqì biànde gèng lěngle] — погода стала ещё более холодной
带;dài;иметь при себе, захватить [взять с собой];带雨伞 [dài yǔsǎn] — иметь при себе [захватить] зонтик
然后;ránhòu;потом, затем;
一样;yīyàng;одинаковый, такой же, как;
当然;dāngrán;конечно, естественно;
相信;xiāngxìn;верить, доверять;
认为;rènwéi;полагать, считать;
明白;míngbai;понимать, понятный, очевидный, ясный;明白人 [míngbairén] — разумный [понятливый] человек
一直;yīzhí;прямо, напрямик, всё время, всегда;
地;de;показатель обстоятельства образа действия;要实事求是地处理问题 [yào shíshì qiúshìde chǔlǐ wèntí] — необходимо по-деловому решать проблемы
地方;dìfāng;переферия, места, местный;地方自治 [dìfāng zìzhì] — местное самоуправление; 地方时 [dìfāngshí] — местное время
离开;líkāi;оставить, покинуть, уйти (из), расстаться;
一定;yīdìng;непременно, обязательно, обязательный;
还是;háishi;ещё, всё ещё;
发;fā;выпускать, испускать, выдавать, выплачивать;发光 [fāguāng] — испускать свет, светиться, блестеть; 发工资 [fā gōngzī] — выдавать зарплату
发现;fāxiàn;обнаружить, заметить;
而且;érqiě;к тому же, притом;不但 …, 而且 … [bùdàn…, érqiě…] — не только…, но и…
必须;bìxū;необходимо, должно;
放;fàng;отпускать, выпускать, освобождать, ставить, класть;放孩子们出去玩 [fàng háizimen chūqu wán] — отпустить детей погулять; 把书放在桌子上 [bǎ shū fàngzài zhuōzishang] — положить книгу на стол
为了;wèile;для, ради, в целях, для того, чтобы;
向;xiàng;быть обращённым к, направление, курс;窗子向南 [chuángzi xiàng nán] — окна выходят на юг; 向朋友借钱 [xiàng péngyou jièqián] — взять в долг у приятеля
老;lǎo;старый, уважаемый, почтенный;老人 [lǎorén] — старый человек, старик; 老大哥 [lǎodàgē] — старший брат (почтительное обращение к другу)
位;wèi;место, позиция, лицо, персона;占第位 [zhàn dì yī wèi] — занять первое место; 两位先生 [liǎng wèi xiānsheng] — два господина
先;xiān;раньше, сначала, прежде;你先一个人去 [nǐ xiān yīge rén qù] — ты сначала сходи один
种;zhǒng;семя, семена, порода, род, вид, раса;麦种 [màizhǒng] — семена пшеницы; 阿拉伯种马 [ālābó zhǒng mǎ] — лошадь арабской породы
最后;zuìhòu;самый последний, последний, конечный;
其他;qítā;прочие, другие, остальные;
记得;jìde;помнить;
或者;huòzhě;или, либо;
过去;guòqù;проходить, миновать;
担心;dānxīn;беспокоиться, тревожиться, опасаться;
条;tiáo;сч. сл. для длинных предметов;一条路 [yī tiáo lù] — (одна) дорога; 一条鱼 [yī tiáo yú] — одна рыбина
以前;yǐqián;раньше, прежде;
长;cháng, zhǎng;[en] long; length | grow; chief (Kangxi radical 168)
世界;shìjiè;вселенная, мир, мировой;世界市场 [shìjiè shìchǎng] — мировой рынок
重要;zhòngyào;важный;重要性 [zhòngyàoxìng] — важность
别人;biéren;другие, посторонние, чужие;
机会;jīhuì;удобный случай, благоприятная возможность;错过机会 [cuòguò jīhuì] — упустить удобный случай
张;zhāng;раскрывать, открывать, сч. сл. для листов, столов, кроватей;
接;jiē;получать, принимать, соединять;接电线 [jiē diànxiàn] — соединить [срастить] провода; 接信 [jiēxìn] — получить письмо
比赛;bǐsài;соревнования, состязания, турнир;射击比赛 [shèjī bǐsài] — соревнования по стрельбе
关;guān;закрывать, затворять, выключать, заключить, посадить;关门 [guānmén] — закрыть дверь; 关电灯 [guān diàndēng] — выключить свет
关系;guānxi;связь, отношение;国际关系 [guójì guānxi] — международные отношения; 这与你有什么关系 ? [zhè yǔ nǐ yǒu shénme guānxi] — какое отношение имеет это к вам?
马;mǎ;лошадь, конь;骑马 [qǐmǎ] — (ехать) верхом на лошади
马上;mǎshàng;тотчас, немедленно, тут же, сразу, сейчас;
决定;juédìng;решить, определить, установить;
关于;guānyú;относительно, в отношении, что касается, об, о;
难;nán;трудный, тяжёлый, трудно, трудность;难说 [nánshuō] — трудно сказать; 难事 [nánshì] — трудное дело
了解;liǎojiě;понять, уразуметь, уяснить;
站;zhàn;стоять, встать (на ноги), остановиться, остановка, станция, вокзал;站起来 [zhànqilai] — встать, подняться (напр., с места); 火车到了站 [huǒchē dàole zhàn] — поезд прибыл на станцию
结束;jiéshù;закончить(ся), завершить, кончить, заключительный;结束语 [jiéshùyǔ] — заключительное слово
清楚;qīngchu;ясный, отчётливый, разборчивый;
愿意;yuànyì;желать, хотеть;
花;huā;цветок, цветы, тратить, расходовать;献花 [xiàn huā] — подарить [преподнести] цветы; 花了半天的时间 зря потратить много времени
照片;zhàopiàn;фотография;
欢迎;huānyíng;приветствовать, встречать;欢迎词 [huānyíngcí] — приветственная речь, приветствие; 致欢迎词 [zhì huānyíngcí] — обратиться с приветствием
总是;zǒngshì;всегда, всё время;
嘴;zuǐ;рот, пасть, клюв;张嘴 [zhāng zuǐ] — открыть рот
参加;cānjiā;участвовать, принимать участие;
办法;bànfǎ;способ, метод;有办法 [yǒu bànfǎ] — есть выход
选择;xuǎnzé;выбирать, отбирать, выбор;选择职业 [xuǎnzé zhíyè] — выбрать профессию; 作出选择 [zuòchū xuǎnzé] — сделать (свой) выбор
坏;huài;плохой, негодный, дурной, испортиться, сломаться;坏作风 [huài zuòfēng] — порочный стиль; 肉坏了 [ròu huàile] — мясо испортилось
打算;dǎsuan;рассчитывать, предполагать, намереваться, намерение;
试;shì;пробовать, примерять, испытывать, экзамен;试衣服 [shì yīfu] — примерять одежду; 口试 [kǒushì] — устный экзамен
特别;tèbié;особый, специфический;
注意;zhùyì;обращать [уделять] внимание, внимание;注意力 [zhùyìlì] — внимательность, внимание
其实;qíshí;по сути же дела, на самом же деле, фактически же;
小心;xiǎoxīn;остерегаться, беречься, осторожно;小心油漆 ! [xiǎoxīn yóuqī] — осторожно, окрашено!
久;jiǔ;долго, давно, длительное время;很久没有见面 [hěnjiǔ méiyǒu jiànmiàn] — давно не виделись; 久别 [jiǔbié] — расстаться на длительное время, долгая разлука
只有;zhǐyǒu;[en] only
讲;jiǎng;говорить, рассказывать, сказать;讲故事 [jiǎng gùshi] — рассказывать истории [сказки]; 讲坏话 [jiǎng huàihuà] — сказать плохое
故事;gùshì;сказание, сказка, рассказ, история;
换;huàn;менять, обменивать, разменивать;换衣服 [huàn yīfu] — сменить одежду; 换工作 [huàn gōngzuò] — сменить работу
结婚;jiéhūn;вступить в брак, сочетаться браком, жениться, выйти замуж;
段;duàn;отрезок, кусок, часть;段管子 [yīduàn guǎnzi] — кусок трубы; 最后段旅程 [zuìhòu yīduàn lǚchéng] — заключительный этап путешествия
努力;nǔlì;прилагать усилия, стараться;努力学习 [nǔlì xuéxí] — прилежно [старательно] учиться; 作出努力 [zuòchū nǔlì] — приложить усилия
害怕;hàipà;бояться, трусить;
刚才;gāngcái;только что;
节目;jiémù;номер (программы), программа;节目单 [jiémùdān] — программа (театральная)
辆;liàng;сч. сл. для колёсного транспорта;三辆汽车 [sānliàng qìchē] — три автомобиля
万;wàn;десять тысяч;二十五万 [èrshí wǔ wàn] — двести пятьдесят тысяч
解决;jiějué;решать, разрешать (напр., проблемы), уничтожить (напр., врага);
办公室;bàngōngshì;кабинет, офис;
奇怪;qíguài;удивительный, поразительный, удивляться, поражаться, странный;
同意;tóngyì;согласиться, одобрить, согласие;
游戏;yóuxì;игра, забава, играть, забавляться;
帮忙;bāngmáng;помогать, оказывать услугу;幫倒忙 оказать медвежью услугу幫了大忙 оказать большую помощь
国家;guójiā;государство, страна, государственный;国家制度 [guójiā zhìdù] — государственный строй
最近;zuìjìn;за последнее время, совсем недавно, последний;
声音;shēngyīn;звук, звучание;
可爱;kě’ài;достойный любви (уважения), любезный сердцу, любимый, милый, прелестный;
分;fēn;делить(ся), разделять(ся), минута;分土地 [fēn tǔdì] — делить землю
完成;wánchéng;закончить(ся), завершить(ся);完成体 [wánchéngtǐ] — совершенный вид
半;bàn;половина, полу-, пол-;半 [yībàn] — (одна) половина; 两斤半 [liǎngjīn bàn] — два цзиня с половиной
要求;yāoqiú;требовать, добиваться;
除了;chúle;кроме, помимо, кроме как, за исключением;
容易;róngyì;лёгкий, легко;这件事并不容易 [zhèjiàn shì bìngbù róngyì] — это дело совсем не лёгкое
教;jiāo;обучать, преподавать;教识字 [jiāo shízì] — обучать [учить] грамоте; 教历史 [jiāo lìshǐ] — преподавать историю
脸;liǎn;лицо;洗脸 [xǐ liǎn] — умываться; 丢脸 [diūliǎn] — потерять лицо [репутацию], осрамиться
简单;jiǎndān;простой, примитивный;简单化 [jiǎndānhuà] — упрощать, упрощение, упрощенчество
检查;jiǎnchá;проверять, контролировать, осматривать;检查护照 [jiǎnchá hùzhào] — проверка паспортов; 检查行李 [jiǎnchá xíngli] — досмотр багажа
音乐;yīnyuè;музыка, музыкальный;
越;yuè;превысить;越权 [yuèquán] — превысить права [полномочия]
照顾;zhàogu;заботиться, беспокоиться, ухаживать;
聪明;cōngming;умный, способный;
甜;tián;сладкий, сладко;这西瓜真甜 [zhè xīguā zhēn tián] — этот арбуз очень сладкий; 甜睡 [tiánshuì] — сладко спать
突然;tūrán;вдруг, внезапно;
终于;zhōngyú;в конечном счёте, в конечном итоге, в конце концов;
船;chuán;судно, корабль, пароход, лодка;渔船 [yúchuán] — рыболовное судно; 帆船 [fānchuán] — парусник
口;kǒu;рот, устный;开口 [kāi kǒu] — открыть рот; 一家三口人 [yī jiā sānkǒu rén] — семья из трёх человек
回答;huídá;отвечать, ответ;
礼物;lǐwù;подарок, подношение;
头发;tóufa;волосы;
关心;guānxīn;заботиться, принимать участие в ком-либо;
脚;jiǎo;нога, ступня, ножка (напр., стула);右脚 [yòujiǎo] — правая нога [ступня]
生气;shēngqì;сердиться, гневаться, жизненная сила [энергия];
哭;kū;плакать, оплакивать;哭起来 [kūqilai] — расплакаться; 别哭了 [bié kūle] — не плачь!
画;huà;картина, рисунок, рисовать;铅笔画 [qiānbǐhuà] — рисунок карандашом; 画画儿 [huà huàr] — писать картину, рисовать
年轻;niánqīng;молодой, молодость;年轻人 [niánqīng rén] — молодой человек; 年轻化 [niánqīnghuà] — молодеть, омолаживание
包;bāo;завёртывать, обёртывать, упаковывать, перевязывать (напр., рану);包饺子 [bāo jiǎozi] — делать [лепить] пельмени; 把东西包起来 [bǎ dōngxi bāoqilai] — упаковать вещи
腿;tuǐ;нога, бедро;大腿 [dàtuǐ] — бедро; 小腿 [xiǎotuǐ] — голень
忘记;wàngjì;забывать;
搬;bān;передвигать, переносить, перетаскивать;搬行李 [bān xíngli] — переносить багаж
楼;lóu;здание, дом, этаж;办公楼 [bàngōnglóu] — административное здание, офис; 五楼 [wǔlóu] — пятый этаж
遇到;yùdào;встретить(ся), столкнуться (напр., с трудностями);
新闻;xīnwén;новости, известия, хроника;
比较;bǐjiào;сравнительно;写得比较好 [xiěde bǐjiào hǎo] — написано сравнительно хорошо
双;shuāng;пара, два, оба;双皮鞋 [yī shuāng píxié] — пара ботинок; 双手 [shuāngshǒu] — две руки, руки
见面;jiànmiàn;встретиться, увидеться;
经常;jīngcháng;постоянный, неизменный, обычный;
城市;chéngshì;город, городской;城市建设 [chéngshì jiànshè] — городское строительство
一会儿;yīhuìr;минутка, на минуту, немного, немножко;
附近;fùjìn;окрестности, вблизи, около;
借;jiè;брать в долг, занимать, одалживать;借钱 [jièqián] — занимать деньги
影响;yǐngxiǎng;влиять, оказывать влияние, воздействовать;产生影响 [chǎnshēng yǐngxiǎng] — оказывать влияние
认真;rènzhēn;серьёзный, добросовестный;
米;mǐ;рис (очищенный), метр;米粉 [mǐfěn] — рисовая мука
差;chā;разница, отличие, отличаться от, разность;时差 [shíchā] — разница во времени; 相差 [xiāngchā] — отличаться (друг от друга), разниться
银行;yínháng;банк, банковский;
安静;ānjìng;покойный, тихий, тишина, покой;病人需要安静 [bìngrén xūyào ānjìng] — больной нуждается в покое
多么;duōme;так, до такой степени, насколько же…!;
饿;è;быть голодным, голодать, голод;我饿了 [wǒ èle] — я проголодался; 感到饿 [gǎndào è] — ощущать голод
根据;gēnjù;согласно, на основании, в соответствии с, по;
几乎;jīhū;почти, почти что, едва не;
后来;hòulái;потом, впоследствии, затем;
动物;dòngwù;животное, животный;动物油 [dòngwùyóu] — животные жиры
西;xī;запад, западный;从西往东 [cóng xī wǎng dōng] — с запада на восток; 西风 [xīfēng] — западный ветер
一边;yībiān;одна сторона, с одной стороны, в удвоении (и)… и…;他一边走一边想他的话 [tā yībiān zǒu yībiān xiǎng tāde huà] — он шёл и думал о том, что он сказал
舒服;shūfu;удобный, уютный, комфортабельный;不舒服 [bù shūfu] — нездоровиться, испытывать недомогание
一般;yībān;обычный, простой, рядовой, заурядный, средний;
叔叔;shūshu;дядя (младший брат отца);
疼;téng;больно, болит, болеть, боль;头疼 [tóuténg] — головная боль
迟到;chídào;опоздать;
历史;lìshǐ;история, исторический;
啤酒;píjiǔ;пиво;
短;duǎn;короткий, краткий;短距离 [duǎn jùlí] — короткое расстояние, короткая дистанция
经过;jīngguò;проходить (через, сквозь, мимо), через, путём, посредством;
周末;zhōumò;конец недели, уик-энд;
班;bān;группа, класс;学班 [xuébān] — учебная группа
习惯;xíguàn;привычка, обычай;
公园;gōngyuán;парк;
干净;gānjìng;чистый, опрятный;
鸟;niǎo;птица, птицы;
健康;jiànkāng;здоровье;
树;shù;дерево;一棵树 [yīkē shù] — (одно) дерево
蛋糕;dàngāo;пирожное, бисквит;
元;yuán;юань;
客人;kèrén;гость, приглашённый;
会议;huìyì;собрание, конференция, заседание, совещание;会议室 [huìyìshì] — зал заседаний, конференц-зал
奶奶;nǎinai;бабушка;
裤子;kùzi;брюки;
邻居;línjū;сосед;
经理;jīnglǐ;директор, управляющий, заведующий;
层;céng;слой, прослойка, ярус, этаж;七层大楼 [qī céng dàlóu] — семиэтажный дом
灯;dēng;лампа, фонарь, светильник;台灯 [táidēng] — настольная лампа; 路灯 [lùdēng] — уличные фонари
练习;liànxí;тренироваться, упражняться, упражнение;练习本 [簿] [liànxíběn[bù] ] — тетрадь (для упражнений)
爷爷;yéye;дедушка;
蓝;lán;синий;蓝天 [lántiān] — синее небо
难过;nánguò;трудно [тяжело] жить;
中间;zhōngjiān;посередине, между, среди;中间派 [zhōngjiānpài] — промежуточные силы
帽子;màozi;головной убор, шапка, шляпа;
司机;sījī;машинист (поезда), шофёр, водитель;
旧;jiù;старый, прежний;旧友 [jiùyǒu] — старый друг; 旧日 [jiùrì] — прежние времена, прошлое
满意;mǎnyì;быть довольным, довольный, удовлетворение;
骑;qí;сидеть верхом, ехать;骑马 [qí mǎ] — ехать верхом на лошади; 骑在头上 [qí zài… tóushang] — сидеть у кого-либо на шее
太阳;tàiyáng;солнце, солнечный;太阳能 [tàiyángnéng] — солнечная энергия
极;jí;наивысшая точка, крайность;
主要;zhǔyào;главный, основной;
同事;tóngshì;сослуживец, коллега;
鼻子;bízi;нос;
角;jiǎo;рог, рога, угол, уголок, угловой;鹿角 [lùjiǎo] — оленьи рога; 三角 [sānjiǎo] — треугольник
变化;biànhuà;изменение, перемена, сдвиг, перемены;变化无常 [biànhuà wúcháng] — переменчивый, изменчивый
东;dōng;восток, восточный;东风 [dōngfēng] — восточный ветер; 远东 [yuǎndōng] — Дальний Восток
年级;niánjí;класс, курс;
环境;huánjìng;окружение, среда, окружающая среда;
胖;pàng;толстый, полный, тучный;他胖了好多 [tā pàngle hǎoduō] — он сильно располнел; 胖娃娃 [pàng wáwa] — бутуз, толстяк (о ребёнке)
地图;dìtú;карта (географическая);
面包;miànbāo;хлеб, булка;
电子邮件;diànzǐ yóujiàn;электронная почта, E-mail;
耳朵;ěrduo;ухо;
裙子;qúnzi;юбка;
新鲜;xīnxiān;свежий, чистый (напр., воздух), новый (о каком-либо явлении);
放心;fàngxīn;не беспокоиться, быть спокойным, успокоиться;
聊天;liáotiān;болтать, чатиться;
南;nán;юг, южный;南风 [nánfēng] — южный ветер
热情;rèqíng;энтузиазм, пафос, пыл;
信用卡;xìnyòngkǎ;кредитная карта, кредитка;
电梯;diàntī;лифт, эскалатор;
方便;fāngbiàn;удобный, удобство;
洗手间;xǐshǒujiān;туалет, уборная;
洗澡;xǐzǎo;мыться, принимать ванну, купаться;
饮料;yǐnliào;напитки, питьё;
校长;xiàozhǎng;директор школы, ректор вуза [университета];
水平;shuǐpíng;уровень, горизонтальный;生活水平 [shēnghuó shuǐpíng] — уровень жизни; 水平线 [shuǐpíngxiàn] — горизонтальная линия, горизонталь
作业;zuòyè;работа, задание;家庭作业 [jiātíng zuòyè] — домашняя работа, задание на дом
衬衫;chènshān;сорочка;
成绩;chéngjī;успехи, достижения;
碗;wǎn;чашка, пиала;茶碗 [cháwǎn] — чайная чашка; 饭碗 [fànwǎn] — пиала риса
阿姨;āyí;тётя, тётка, (при обращении) тётя, няня (в детском саду);
图书馆;túshūguǎn;библиотека;
文化;wénhuà;культура, цивилизация;文化宫 [wénhuàgōng] — дворец [дом] культуры; 文化遗产 [wénhuà yíchǎn] — культурное наследие
绿;lǜ;зелёный;绿草 [lǜcǎo] — зелёная трава
打扫;dǎsǎo;подметать, убирать;
草;cǎo;трава, солома, сено;青草 [qīngcǎo] — трава
冰箱;bīngxīang;холодильник;
数学;shùxué;математика;
自行车;zìxíngchē;велосипед;
着急;zháojí;волноваться, беспокоиться, торопиться, спешить;
瘦;shòu;худой, худеть, нежирный, постный;他瘦了 [tā shòule] — он похудел; 瘦肉 [shòuròu] — нежирное [постное] мясо
提高;tígāo;поднять, повысить;提高工资 [tígāo gōngzī] — повысить зарплату
起飞;qǐfēi;подняться в воздух, взлететь;
矮;ǎi;низкорослый, низкий;几棵矮树 [jǐkē ǎi shù] — несколько низкорослых деревьев; 他比他哥哥矮 [tā bǐ tā gēge ǎi] — он ниже своего брата
地铁;dìtiě;метро, метрополитен;
体育;tǐyù;физкультура, спорт;体育场 [tǐyùchǎng] — спортплощадка; 体育馆 [tǐyùguǎn] — спортзал, дворец спорта
刻;kè;четверть часа, вырезать, резать, гравировать;两点刻 [liǎngdiǎn yīkè] — четверть третьего; 刻图章 [kè túzhāng] — вырезать печать
护照;hùzhào;паспорт;出国护照 [chūguó hùzhào] — заграничный паспорт; 公务护照 [gōngwù hùzhào] — служебный паспорт
节日;jiérì;праздник;
盘子;pánzi;тарелка, блюдо, поднос;
一共;yīgòng;всего, итого;
瓶子;píngzi;бутылка, флакон;
街道;jiēdào;улица, уличный;
锻炼;duànliàn;закаливать, закалка;锻炼身体 [duànliàn shēntǐ] — закаляться
感冒;gǎnmào;простудиться, простудное заболевание;流行性感冒 [liúxíngxìng gǎnmào] — грипп
爱好;àihào;любить, иметь склонность [влечение] к чему-либо, хобби;爱好音乐 [àihào yīnyùe] — любить музыку
超市;chāoshì;супермаркет;
月亮;yuèliang;луна, месяц;
饱;bǎo;насытиться, досыта;我已经饱了 [wǒ yǐjing bǎole] — я уже сыт; 饱汉不知饿汉饥 [bǎohàn bùzhī èhàn jī] — сытый голодного не разумеет
有名;yǒumíng;известный, знаменитый;
香蕉;xiāngjiāo;банан;
笔记本;bǐjìběn;ноутбук;
夏;xià;лето, летний;
菜单;càidān;меню;
北方;běifāng;север, северный;
上网;shàngwǎng;Зайти в интернет, соединиться с сетью;
季节;jìjié;сезон, пора, сезонный;季节工 [jìjiégōng] — сезонный рабочий
渴;kě;испытывать жажду, жажда;解渴 [jiěkě] — утолить жажду; 我渴了 [wǒ kěle] — меня мучит жажда
发烧;fāshāo;температурить, температура, жар;
不但;bùdàn;не только;不但 …, 而且 … [bùdàn…, érqiě…] — не только…, но и…
空调;kōngtiáo;кондиционер;
照相机;zhàoxiàngjī;фотоаппарат;
春;chūn;весна, весенний;春风 [chūnfēng] — весенний ветер
伞;sǎn;зонтик, зонт, парашют;折伞 [zhésǎn] — складной зонтик; 打伞 [dǎ sǎn] — раскрыть зонтик
公斤;gōngjīn;килограмм;
个子;gèzi;рост (человека);
熊猫;xióngmāo;бамбуковый медведь, большая панда;
刷牙;shuāyá;чистка зубов;
复习;fùxí;повторять (пройденное), повторение;
冬;dōng;зима, зимний;过冬 [guò dōng] — пережить зиму, перезимовать; 冬奥会 [dōng’àohuì] , — зимняя олимпиада
请假;qǐngjià;просить [брать] отпуск, отпрашиваться с работы;
中文;zhōngwén;китайский язык;
秋;qiū;осень, осенний;秋风 [qiūfēng] — осенний ветер
句子;jùzi;предложение, фраза;
行李箱;xínglǐxiāng;чемодан;
筷子;kuàizi;куайцзы, палочки для еды;
皮鞋;píxié;кожаные туфли [ботинки];皮鞋油 [píxiéyóu] — крем для обуви, гуталин
爬山;páshān;восходить на горы, альпинизм;
黑板;hēibǎn;классная доска;黑板报 [hēibǎnbào] — стенная газета (написанная мелом на чёрной доске)
感兴趣;gǎn xìngqù;[en] be interested in
词典;cídiǎn;словарь;双语词典 [shuāngyǔ cídiǎn] — двуязычный словарь
留学;liúxué;учиться за границей;
刮风;guāfēng;дует ветер, ветрено;
黄河;huánghé;[en] Yellow River